work,productAge,productName
0,359.8665658108912,Scout
0,22.237038536400462,TeleSwipe
0,31.44689439283565,Test
0,199.66610343350692,iGuide
449,397.91055876291665,Coderwall
0,58.33962436980324,Remembrances
0,110.16790731712962,Commuter Compensation
0,366.60435403809026,Kahaaneeyaa
0,285.1875217182523,Apparazzi
0,66.45882653767362,Formjam
0,364.2769056243403,lively sunset
0,300.5980993064815,Line cutter
0,314.1986877702199,Flying on Time
0,20.832548361249998,Commando.io
0,363.7688931422222,1099ify
0,76.89227544180555,Doyen
0,354.63021156827546,blue lake
0,32.96214238648148,Bootswap
0,300.4727225924768,Noisy cricket
0,374.78987899663196,KickBuyer
0,296.27444499016207,aged shape
0,22.74386300445602,Play Paws
0,27.063428707094907,Stoor
0,311.9930872776389,Same Thing
0,350.1561026968287,rough meadow
0,367.5524183339583,cold feather
0,22.846190678587963,Metalab
0,296.2156627838079,Fund My Tuition
0,1.5889450607060185,Typesniche
0,367.7024719263773,Intouch
0,27.06929992895833,Nextmall
0,14.648531964282407,Timeless 
0,319.20134471332176,divine glitter
0,354.02608365849534,wildkarte
0,34.403490078171295,SteezTest.me
0,209.63365181686345,FindMyDoctor
1,5.3024698512615736,jammin
0,30.400092903125,Crustly
0,26.570744851435183,Movie Database
0,55.287111106307876,One API integration for local countries and data from Rome2Rio.
0,359.88835340553237,Rkomnd
0,321.76038156615743,C-Level Smart Lock
0,1.5514144514930555,Fjord Audio
0,323.08304197428237,Rendezvous
0,48.81966127810185,Make Social Media Marketing more Social
0,319.672608910625,Wishlist
0,22.822138179293983,Buy N Build
0,298.0168213336458,long thunder
0,336.1480186033449,Three-Ten Seekers
0,366.0187262330671,Smart Wallpaper
0,44.4761409043287,Microweber
0,201.72913259362267,Cyclence
0,303.9558207635532,little hill
0,366.93744313146993,bitter violet
1,18.141619437662037,Updates
0,25.07500161255787,Qoiners
0,358.41277442494214,Cake-it
2,59.09373072548611,Lancr
0,278.081030237037,spring hill
0,213.09795686663193,Sparkling Brook
0,18.177562746238426,neatflow
9,128.91604521793982,Bananner
0,158.37019026550925,Athena's Call
0,300.653322911956,travelfoodstress
0,355.0775685253472,Split meal check 
0,228.92067816403937,Such Wave
0,321.94821808805557,nutshell
0,309.03390620678243,damp fire
0,42.06396116253472,Shortcut Buddy
0,290.9306074092708,bite
0,357.8799408809954,PhotoMe
0,338.7548082644213,Assembly Ideas
0,28.623999019444444,Mesay
0,359.90324300290507,Will Meet
